run_key,task,model_id,physics_status,physics_missing_reason,prefill_projection_flop_proxy,prefill_attention_flop_proxy,prefill_mlp_flop_proxy,prefill_total_flop_proxy,decode_output_cap_tokens_per_request,decode_upper_bound_flop_proxy,kv_cache_prefill_sum_bytes,kv_cache_prefill_max_request_bytes,kv_cache_output_cap_sum_bytes,weight_bytes_total,prefill_total_flop_proxy_per_gpu_ideal,decode_upper_bound_flop_proxy_per_gpu_ideal,kv_cache_prefill_sum_bytes_per_gpu_ideal,weight_bytes_per_gpu_ideal,model_parallel_gpus_per_replica,kv_bytes_per_element,shared_expert_term_included
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":192,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":192,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-14B,available,,463624942387200.0,32461640499200.0,1970406005145600.0,2466492588032000.0,32768.0,5.195233243430912e+17,15091957760.0,456294400.0,2141100769280.0,28000000000.0,2466492588032000.0,5.195233243430912e+17,15091957760.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":256,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-14B,available,,463624942387200.0,32461640499200.0,1970406005145600.0,2466492588032000.0,32768.0,5.195233243430912e+17,15091957760.0,456294400.0,2141100769280.0,28000000000.0,2466492588032000.0,5.195233243430912e+17,15091957760.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":32,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":384,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-14B,available,,695437413580800.0,48692460748800.0,2955609007718400.0,3699738882048000.0,32768.0,7.792849865146368e+17,22637936640.0,456294400.0,3211651153920.0,28000000000.0,3699738882048000.0,7.792849865146368e+17,22637936640.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":512,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-14B,available,,695437413580800.0,48692460748800.0,2955609007718400.0,3699738882048000.0,32768.0,7.792849865146368e+17,22637936640.0,456294400.0,3211651153920.0,28000000000.0,3699738882048000.0,7.792849865146368e+17,22637936640.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":64,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":8,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":96,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":128,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,500740912562176.0,1.5081845090890547e+17,2235689984.0,117500000000.0,4.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":16,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,500740912562176.0,1.5081845090890547e+17,2235689984.0,117500000000.0,4.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":256,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,1245404519727104.0,123195562524672.0,2637327218245632.0,4005927300497408.0,32768.0,1.2065476072712438e+18,17885519872.0,536530944.0,2515945873408.0,470000000000.0,1001481825124352.0,3.0163690181781094e+17,4471379968.0,117500000000.0,4.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":32,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,500740912562176.0,1.5081845090890547e+17,2235689984.0,117500000000.0,4.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":384,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,1868106779590656.0,184793343787008.0,3955990827368448.0,6008890950746112.0,32768.0,1.8098214109068657e+18,26828279808.0,536530944.0,3773918810112.0,470000000000.0,1502222737686528.0,4.524553527267164e+17,6707069952.0,117500000000.0,4.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":64,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,500740912562176.0,1.5081845090890547e+17,2235689984.0,117500000000.0,4.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":8,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,500740912562176.0,1.5081845090890547e+17,2235689984.0,117500000000.0,4.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":128,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,250370456281088.0,7.540922545445274e+16,1117844992.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":16,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,250370456281088.0,7.540922545445274e+16,1117844992.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":256,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,1245404519727104.0,123195562524672.0,2637327218245632.0,4005927300497408.0,32768.0,1.2065476072712438e+18,17885519872.0,536530944.0,2515945873408.0,470000000000.0,500740912562176.0,1.5081845090890547e+17,2235689984.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":32,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,250370456281088.0,7.540922545445274e+16,1117844992.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":384,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,1868106779590656.0,184793343787008.0,3955990827368448.0,6008890950746112.0,32768.0,1.8098214109068657e+18,26828279808.0,536530944.0,3773918810112.0,470000000000.0,751111368843264.0,2.262276763633582e+17,3353534976.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":512,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,1868106779590656.0,184793343787008.0,3955990827368448.0,6008890950746112.0,32768.0,1.8098214109068657e+18,26828279808.0,536530944.0,3773918810112.0,470000000000.0,751111368843264.0,2.262276763633582e+17,3353534976.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":64,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,250370456281088.0,7.540922545445274e+16,1117844992.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":768,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":5}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,3113511299317760.0,307988906311680.0,6593318045614080.0,1.001481825124352e+16,32768.0,3.0163690181781094e+18,44713799680.0,536530944.0,6289864683520.0,470000000000.0,1251852281405440.0,3.770461272722637e+17,5589224960.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":8,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,250370456281088.0,7.540922545445274e+16,1117844992.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":128,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,250370456281088.0,7.540922545445274e+16,1117844992.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":16,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,250370456281088.0,7.540922545445274e+16,1117844992.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":192,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,1245404519727104.0,123195562524672.0,2637327218245632.0,4005927300497408.0,32768.0,1.2065476072712438e+18,17885519872.0,536530944.0,2515945873408.0,470000000000.0,500740912562176.0,1.5081845090890547e+17,2235689984.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":256,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,1245404519727104.0,123195562524672.0,2637327218245632.0,4005927300497408.0,32768.0,1.2065476072712438e+18,17885519872.0,536530944.0,2515945873408.0,470000000000.0,500740912562176.0,1.5081845090890547e+17,2235689984.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":32,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,250370456281088.0,7.540922545445274e+16,1117844992.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":384,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,1868106779590656.0,184793343787008.0,3955990827368448.0,6008890950746112.0,32768.0,1.8098214109068657e+18,26828279808.0,536530944.0,3773918810112.0,470000000000.0,751111368843264.0,2.262276763633582e+17,3353534976.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":512,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,1868106779590656.0,184793343787008.0,3955990827368448.0,6008890950746112.0,32768.0,1.8098214109068657e+18,26828279808.0,536530944.0,3773918810112.0,470000000000.0,751111368843264.0,2.262276763633582e+17,3353534976.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":64,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,250370456281088.0,7.540922545445274e+16,1117844992.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":8,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,250370456281088.0,7.540922545445274e+16,1117844992.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":96,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,470000000000.0,250370456281088.0,7.540922545445274e+16,1117844992.0,58750000000.0,8.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507-FP8"",""gpu_model"":""B200"",""num_gpus"":2,""max_num_seqs"":1024,""tensor_parallel"":1,""expert_parallel"":2,""data_parallel"":1,""seed"":48105,""num_request_repeats"":6}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507-FP8,available,,3736213559181312.0,369586687574016.0,7911981654736896.0,1.2017781901492224e+16,32768.0,3.6196428218137313e+18,53656559616.0,536530944.0,7547837620224.0,235000000000.0,6008890950746112.0,1.8098214109068657e+18,26828279808.0,117500000000.0,2.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507-FP8"",""gpu_model"":""B200"",""num_gpus"":2,""max_num_seqs"":128,""tensor_parallel"":1,""expert_parallel"":2,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507-FP8,available,,622702259863552.0,61597781262336.0,1318663609122816.0,2002963650248704.0,32768.0,6.032738036356219e+17,8942759936.0,536530944.0,1257972936704.0,235000000000.0,1001481825124352.0,3.0163690181781094e+17,4471379968.0,117500000000.0,2.0,2.0,False
