run_key,task,model_id,effective_status,effective_missing_reason,chat_content_format,chat_template_sha256,system_prompt_sha256,chat_template_kwargs_json,base_effective_lengths_sha256,effective_request_count,effective_total_input_tokens,effective_input_tokens_mean,effective_input_tokens_p50,effective_input_tokens_p90,effective_input_tokens_p95,effective_input_tokens_min,effective_input_tokens_max,effective_input_tokens_std,effective_sum_input_tokens_squared
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":192,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":192,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,396.0,92114.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,39626026.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":256,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,396.0,92114.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,39626026.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":32,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":384,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,594.0,138171.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,59439039.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":512,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,594.0,138171.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,59439039.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":64,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":8,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":96,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":128,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":16,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":256,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,396.0,92906.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,39996066.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":32,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":384,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,594.0,139359.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,59994099.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":64,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":4,""max_num_seqs"":8,""tensor_parallel"":1,""expert_parallel"":4,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":128,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":16,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":256,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,396.0,92906.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,39996066.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":32,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":384,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,594.0,139359.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,59994099.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":512,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,594.0,139359.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,59994099.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":64,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":768,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":5}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,990.0,232265.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,99990165.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""B200"",""num_gpus"":8,""max_num_seqs"":8,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":128,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":16,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":192,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,396.0,92906.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,39996066.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":256,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,396.0,92906.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,39996066.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":32,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":384,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,594.0,139359.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,59994099.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":512,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,594.0,139359.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,59994099.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-235B-A22B-Thinking-2507"",""gpu_model"":""H100"",""num_gpus"":8,""max_num_seqs"":64,""tensor_parallel"":1,""expert_parallel"":8,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-235B-A22B-Thinking-2507,available,,string,3802169b2a02b81e6adb7ab4f64f91ff02db753c8c3a64a01c35192d3a61d8d7,,{},c2ce606708d55ff37f1bba4fe239fb7950ad0015d4abd8dae9fd4a2bb85cee80,198.0,46453.0,234.61111111111111,199.0,357.20000000000005,444.15,60.0,2787.0,214.37768822775504,19998033.0
